,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
1274,57,415,0,0,0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0,0
1466,172,415,0,0,0,172.5,85,29.33,253.1,71,21.51,221.6,113,9.97,5.9,6,1.59,0,0
2480,70,510,0,1,30,143.4,72,24.38,170.0,92,14.45,127.9,68,5.76,9.4,4,2.54,3,0
1240,123,415,0,0,0,128.7,126,21.88,117.6,94,10.0,198.4,132,8.93,10.8,5,2.92,0,0
3175,147,415,0,1,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2,0
1615,130,510,0,0,0,139.1,72,23.65,246.0,112,20.91,207.2,121,9.32,11.4,9,3.08,5,0
2031,106,415,0,0,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2,0
3299,152,510,0,0,0,161.4,84,27.44,163.6,88,13.91,153.2,121,6.89,11.8,5,3.19,1,0
1824,144,510,0,1,37,219.9,102,37.38,222.1,77,18.88,118.5,111,5.33,10.0,4,2.7,1,0
1829,48,415,0,0,0,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2,0
1195,92,408,0,0,0,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,0
2289,116,415,0,0,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10.0,6,2.7,1,0
2946,89,415,0,0,0,141.1,92,23.99,249.1,126,21.17,136.0,73,6.12,10.8,2,2.92,2,0
2825,87,510,1,0,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,0
2504,131,408,0,1,33,177.1,100,30.11,194.0,85,16.49,253.4,124,11.4,5.2,5,1.4,1,0
2549,51,510,0,1,28,276.7,121,47.04,203.7,99,17.31,246.2,88,11.08,8.3,3,2.24,0,0
365,86,408,0,1,23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,0
2007,138,415,0,0,0,87.6,112,14.89,266.9,107,22.69,214.6,104,9.66,9.8,10,2.65,2,0
492,153,510,0,0,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,0
2602,88,408,0,0,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2,0
2676,74,510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0
919,130,510,0,0,0,154.0,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,0
2637,83,510,0,0,0,78.1,70,13.28,239.3,115,20.34,144.4,112,6.5,12.3,4,3.32,1,0
2326,159,510,0,0,0,114.8,98,19.52,192.6,101,16.37,259.0,108,11.66,12.2,5,3.29,0,0
1586,85,415,0,0,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,0
1338,90,415,0,0,0,37.8,80,6.43,155.3,105,13.2,175.0,111,7.88,14.2,5,3.83,3,0
1675,85,415,0,0,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1,0
2375,55,415,0,1,20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1,0
98,41,408,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0
1575,70,415,0,0,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,0
3254,201,510,0,0,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7.0,6,1.89,1,0
1657,100,415,0,0,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,0
858,109,408,0,0,0,217.0,115,36.89,207.0,142,17.6,268.0,106,12.06,8.2,4,2.21,1,0
882,189,415,0,0,0,208.3,106,35.41,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3,0
1865,42,415,0,0,0,150.7,52,25.62,246.7,96,20.97,103.8,118,4.67,7.0,4,1.89,2,0
59,138,408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0
2622,134,415,0,0,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10.0,9,2.7,2,0
1440,56,510,0,0,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1,0
1866,135,415,1,0,0,186.0,107,31.62,66.0,94,5.61,213.1,105,9.59,12.9,4,3.48,1,0
2876,104,415,0,0,0,156.2,93,26.55,193.0,54,16.41,222.7,94,10.02,13.1,5,3.54,1,0
2388,132,408,0,0,0,195.1,100,33.17,148.8,95,12.65,224.5,117,10.1,6.7,2,1.81,0,0
1904,116,415,0,0,0,129.4,84,22.0,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0,0
1391,42,408,1,0,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12.0,6,3.24,2,0
129,139,510,0,1,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,0
3119,46,415,0,1,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1,0
1100,101,510,0,0,0,0.0,0,0.0,192.1,119,16.33,168.8,95,7.6,7.2,4,1.94,1,0
556,139,510,0,0,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,0
2386,80,415,0,0,0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0,0
1123,96,415,1,0,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,0
1335,47,415,0,1,30,196.6,93,33.42,241.4,140,20.52,226.0,118,10.17,12.9,4,3.48,2,0
1564,85,510,0,1,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0
651,74,415,0,0,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,0
849,164,408,0,1,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,0
17,147,415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0
1160,123,415,0,1,27,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,15.0,1,4.05,0,0
1621,121,415,0,1,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,0
2738,35,415,0,0,0,105.6,129,17.95,258.2,129,21.95,213.1,77,9.59,8.7,3,2.35,0,0
317,150,510,0,0,0,126.0,99,21.42,238.5,73,20.27,285.1,100,12.83,10.2,6,2.75,3,0
2932,64,415,0,0,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,0
476,90,415,0,0,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,0
1486,99,415,0,0,0,145.6,102,24.75,230.9,87,19.63,181.5,86,8.17,11.4,7,3.08,1,0
2099,69,415,0,1,37,155.0,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1,0
741,74,510,1,0,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,1
32,136,415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0
1505,113,510,0,0,0,207.2,113,35.22,256.0,80,21.76,211.0,87,9.49,9.9,1,2.67,1,0
800,155,415,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,0
1059,111,408,0,0,0,224.9,117,38.23,191.9,127,16.31,229.9,97,10.35,10.3,3,2.78,0,0
3267,64,415,1,0,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3,0
236,166,510,0,0,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,0
1102,104,408,0,0,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,0
1297,72,415,0,0,0,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12.0,5,3.24,2,0
3298,67,415,0,1,41,174.7,86,29.7,160.6,93,13.65,155.3,108,6.99,13.4,1,3.62,0,0
2164,92,415,0,1,44,152.0,95,25.84,274.9,73,23.37,162.4,121,7.31,10.0,1,2.7,2,0
364,75,415,0,0,0,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,0
620,90,415,0,0,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,0
1552,147,408,0,0,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0
1933,139,415,0,1,25,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24,0,0
1208,42,415,0,0,0,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54,1,0
2583,61,415,1,1,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,11.7,6,3.16,3,0
383,50,510,0,0,0,258.1,106,43.88,161.4,106,13.72,225.1,110,10.13,11.7,5,3.16,1,0
1852,86,510,0,0,0,92.8,92,15.78,159.6,87,13.57,148.7,115,6.69,8.8,5,2.38,1,0
165,62,408,0,0,0,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2,0
2594,58,415,0,1,30,178.1,111,30.28,236.7,109,20.12,264.0,118,11.88,8.4,2,2.27,0,0
2678,46,415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0
1236,79,415,0,1,34,103.7,100,17.63,236.3,78,20.09,256.6,102,11.55,14.8,4,4.0,2,0
936,142,415,0,1,26,220.5,94,37.49,239.5,126,20.36,254.3,109,11.44,5.9,9,1.59,2,0
1076,89,415,0,0,0,89.5,66,15.22,179.3,104,15.24,225.1,116,10.13,12.3,1,3.32,3,0
1193,93,408,0,0,0,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,6.6,5,1.78,3,0
2739,84,408,0,0,0,138.6,102,23.56,199.0,93,16.92,204.1,137,9.18,7.8,4,2.11,0,0
173,144,510,1,0,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,0
737,205,510,0,1,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2,0
733,80,415,0,0,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0
1115,29,415,1,1,37,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2,0
3040,125,408,0,0,0,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,2,0
2801,65,408,0,1,31,282.3,70,47.99,152.0,89,12.92,225.5,93,10.15,12.0,4,3.24,1,0
195,110,408,0,0,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,0
2949,114,510,0,0,0,172.0,145,29.24,276.4,101,23.49,193.7,100,8.72,10.1,9,2.73,1,0
1708,100,415,0,0,0,160.3,138,27.25,221.3,92,18.81,150.4,120,6.77,11.2,2,3.02,0,0
3134,121,415,0,1,31,263.1,70,44.73,279.3,118,23.74,127.1,143,5.72,9.7,4,2.62,5,0
1340,90,408,0,1,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1,0
25,142,415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0
3125,122,510,0,0,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0,0
2156,25,510,0,0,0,242.6,69,41.24,209.0,117,17.77,219.7,82,9.89,14.4,6,3.89,2,0
2287,108,415,0,1,41,171.6,110,29.17,136.1,78,11.57,183.4,103,8.25,10.8,7,2.92,0,0
2546,41,510,0,0,0,223.8,67,38.05,244.8,74,20.81,223.8,156,10.07,12.3,5,3.32,3,0
965,124,510,0,1,37,161.2,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1,0
2994,102,415,0,1,31,125.3,92,21.3,141.2,108,12.0,168.2,68,7.57,6.3,2,1.7,3,0
1041,111,510,0,0,0,197.1,117,33.51,227.8,128,19.36,214.0,101,9.63,9.3,11,2.51,0,0
2996,63,510,0,1,49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0,0
1743,132,408,0,0,0,222.4,85,37.81,165.4,76,14.06,208.4,97,9.38,11.2,4,3.02,0,0
388,74,415,0,0,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,0
2791,79,510,0,0,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3,0
3302,93,408,0,1,22,306.2,123,52.05,189.7,83,16.12,240.3,107,10.81,11.7,2,3.16,0,0
2198,86,408,0,0,0,148.2,71,25.19,285.1,91,24.23,166.4,155,7.49,6.2,3,1.67,2,0
428,98,415,0,1,38,213.7,61,36.33,253.0,104,21.51,207.7,73,9.35,10.7,5,2.89,2,0
2050,72,415,0,0,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,2,0
2395,7,415,0,0,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,0
2792,105,408,0,1,33,209.6,68,35.63,146.9,140,12.49,121.0,131,5.44,10.6,3,2.86,2,0
2736,87,415,0,1,21,214.0,113,36.38,180.0,114,15.3,134.5,82,6.05,10.6,5,2.86,0,0
270,66,510,0,0,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,0
2304,126,408,0,1,24,58.9,125,10.01,305.5,90,25.97,158.9,73,7.15,12.1,6,3.27,0,0
2047,120,408,0,1,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1,0
1038,103,415,0,1,31,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,14.5,4,3.92,2,0
1892,22,408,0,0,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0,0
2936,90,415,0,0,0,76.1,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0,0
350,112,510,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0
1633,183,415,0,0,0,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,2,0
3290,27,415,0,0,0,227.4,67,38.66,248.0,115,21.08,61.4,109,2.76,7.8,6,2.11,1,0
2330,33,415,1,0,0,164.0,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0,0
1493,132,408,1,1,33,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,0
1078,129,408,0,0,0,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,0
1628,120,415,0,0,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3.0,1,0
732,65,415,0,0,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1,0
1037,101,415,0,0,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,6.1,3,1.65,3,0
413,60,408,1,1,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14.0,12,3.78,0,1
627,135,415,0,1,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,0
2079,116,510,0,0,0,205.0,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2,0
1140,192,415,0,0,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,0
911,60,415,1,0,0,183.0,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3.0,1,0
1094,94,510,0,0,0,194.1,62,33.0,227.2,54,19.31,190.4,115,8.57,15.3,4,4.13,1,0
2709,94,408,0,0,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,0
2389,83,510,0,0,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13.0,5,3.51,1,0
1843,37,510,0,0,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3,0
2872,116,415,0,0,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,0
2971,127,510,0,0,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,0
2795,88,415,0,0,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,0
898,9,415,0,1,39,214.1,108,36.4,169.2,115,14.38,189.7,117,8.54,10.1,3,2.73,1,0
2010,103,408,0,0,0,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3,1,0
1603,80,510,0,0,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,0
859,105,510,0,1,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,0
1964,120,415,0,1,40,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21,0,0
1476,94,408,1,0,0,170.1,113,28.92,271.8,94,23.1,110.7,78,4.98,8.7,4,2.35,1,0
2328,150,408,0,1,27,209.8,112,35.67,155.0,80,13.18,251.5,111,11.32,7.2,6,1.94,0,0
3192,116,408,0,1,24,183.6,138,31.21,203.8,90,17.32,166.9,89,7.51,6.0,3,1.62,2,0
1171,6,408,0,0,0,226.5,93,38.51,152.1,122,12.93,164.4,98,7.4,9.4,4,2.54,3,0
2573,103,415,0,0,0,70.9,134,12.05,134.5,112,11.43,168.8,164,7.6,12.0,6,3.24,2,0
1128,83,510,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,0
2170,72,408,0,0,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,0
1573,112,415,0,0,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,1
2043,34,408,0,0,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14.0,7,3.78,1,0
2813,88,415,0,0,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,0
2772,150,415,0,1,29,209.9,77,35.68,158.0,52,13.43,141.9,113,6.39,6.6,1,1.78,0,0
2881,131,408,0,0,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,0
142,94,415,0,0,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,0
3047,138,510,0,1,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15.0,3,4.05,1,0
2359,98,510,1,0,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1,0
980,58,510,0,0,0,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,0
2732,124,408,1,0,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,0
1513,182,415,0,0,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,0
1121,78,408,0,0,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0,0
397,161,415,1,0,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,0
1116,65,415,0,0,0,105.7,95,17.97,141.8,100,12.05,180.5,105,8.12,6.6,12,1.78,2,0
1659,109,415,0,0,0,200.1,72,34.02,300.9,120,25.58,236.0,68,10.62,11.9,5,3.21,0,0
755,108,415,0,0,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,0
914,173,510,0,0,0,172.5,78,29.33,142.6,91,12.12,102.0,63,4.59,10.9,2,2.94,0,0
2200,156,408,0,1,27,192.3,137,32.69,199.9,115,16.99,244.2,112,10.99,14.8,8,4.0,1,0
3225,95,408,0,0,0,237.3,83,40.34,154.0,65,13.09,237.0,105,10.67,11.2,6,3.02,1,0
3042,110,408,0,0,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,0
1096,86,510,0,1,29,157.2,118,26.72,196.3,136,16.69,226.7,109,10.2,8.4,5,2.27,3,0
1376,127,408,0,1,25,173.0,91,29.41,245.8,64,20.89,300.0,99,13.5,4.8,3,1.3,0,0
2840,143,415,0,0,0,119.1,117,20.25,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,0
2296,95,510,0,0,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,0
157,80,408,0,0,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,0
239,113,415,0,0,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,0
2741,96,408,0,1,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1,0
404,80,510,0,0,0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,0
2960,45,510,0,0,0,155.7,110,26.47,260.3,103,22.13,192.2,98,8.65,11.0,1,2.97,1,0
387,166,408,0,0,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,0
3124,153,510,0,0,0,159.5,103,27.12,275.5,90,23.42,176.7,126,7.95,10.1,2,2.73,1,1
23,54,408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0
788,147,510,0,1,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,0
1290,149,510,0,0,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,0
2271,147,408,1,0,0,183.8,113,31.25,164.7,110,14.0,111.0,87,5.0,10.1,4,2.73,1,0
961,25,415,0,0,0,134.3,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2,0
2255,30,408,0,0,0,54.0,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1,0
2263,52,408,0,0,0,217.0,104,36.89,152.3,83,12.95,134.3,109,6.04,11.8,4,3.19,2,0
10,168,408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0
2683,108,415,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0
2516,161,415,0,0,0,322.3,100,54.79,230.4,135,19.58,241.5,104,10.87,7.8,5,2.11,2,1
3140,130,415,0,1,45,174.5,120,29.67,217.5,95,18.49,220.3,67,9.91,12.2,2,3.29,1,0
2055,49,408,0,0,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1,0
876,117,415,0,0,0,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2,0
1470,107,415,0,0,0,222.3,101,37.79,286.0,111,24.31,249.4,117,11.22,12.1,4,3.27,1,1
3073,74,415,0,1,32,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9.0,4,2.43,1,0
835,50,408,0,0,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,0
692,137,415,0,0,0,127.0,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,0
108,78,415,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0
2266,62,415,0,0,0,189.5,122,32.22,103.8,95,8.82,180.6,106,8.13,10.8,5,2.92,2,0
145,70,408,0,0,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3,0
1912,100,415,0,0,0,191.9,95,32.62,200.9,101,17.08,271.9,74,12.24,18.2,3,4.91,1,0
930,67,510,0,1,35,245.4,89,41.72,148.2,102,12.6,274.0,136,12.33,7.5,6,2.03,1,0
361,85,408,1,0,0,165.4,107,28.12,196.0,126,16.66,349.2,110,15.71,9.6,7,2.59,2,0
2885,161,415,0,0,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,0
2286,112,408,0,0,0,101.1,119,17.19,214.4,67,18.22,179.5,112,8.08,10.3,5,2.78,2,0
1437,53,415,0,0,0,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,0
1870,110,415,0,0,0,135.1,109,22.97,205.2,99,17.44,166.3,119,7.48,11.7,4,3.16,1,0
3232,80,408,0,1,36,190.3,115,32.35,256.6,78,21.81,214.9,145,9.67,3.8,4,1.03,1,0
14,93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0
2716,64,510,0,1,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,0
1054,190,408,0,0,0,150.9,86,25.65,268.6,129,22.83,179.9,73,8.1,14.7,1,3.97,1,0
237,74,415,0,0,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,0
2135,64,510,0,0,0,219.2,73,37.26,167.0,65,14.2,161.4,119,7.26,10.0,5,2.7,1,0
251,128,408,0,0,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,0
2660,96,415,0,0,0,106.6,128,18.12,284.8,87,24.21,178.9,92,8.05,14.9,7,4.02,1,0
1316,132,408,0,1,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,0
2175,66,415,1,0,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,8.3,3,2.24,3,0
889,100,408,0,1,25,246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13.0,5,3.51,1,0
2759,124,408,0,0,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,0
954,94,408,0,0,0,174.0,85,29.58,241.1,114,20.49,207.8,94,9.35,7.9,1,2.13,1,0
2094,78,415,0,1,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,0
1857,93,415,0,1,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11.0,9,2.97,0,0
572,90,415,0,0,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,0
1736,160,415,0,0,0,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13.0,3,3.51,2,0
2082,96,510,0,0,0,150.0,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3,0
660,64,510,1,1,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,0
217,119,408,0,0,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,0
1430,107,415,0,0,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,0
320,112,510,0,0,0,217.1,76,36.91,205.2,100,17.44,185.7,91,8.36,9.4,3,2.54,2,0
1057,98,415,0,0,0,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4,1
3132,92,415,0,0,0,197.2,113,33.52,242.3,116,20.6,192.0,76,8.64,11.0,5,2.97,2,0
2848,75,510,0,1,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,0
3176,81,408,0,1,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,0
1249,122,415,1,1,40,216.4,80,36.79,249.7,90,21.22,185.9,99,8.37,12.7,4,3.43,1,0
2387,122,415,1,0,0,146.3,117,24.87,218.7,93,18.59,236.0,97,10.62,11.5,5,3.11,1,0
